Topic,Count,Name,Representation,Representative_Docs
152,149,152_usfoodsstrike_workers_solidarity_teamsters,"['usfoodsstrike', 'workers', 'solidarity', 'teamsters', 'united', 'represented', 'wage', 'strike', 'brotherhood', 'trainmen']","['Teamsters on the line ✊🏿✊🏾✊🏽✊🏼\nLocal 553 members at United Metro Energy in New York remain on strike.\n \n💪Stay strong, brothers and sisters!', 'Teamsters on the line ✊🏿✊🏾✊🏽✊🏼\nOur Local 553 brothers and sisters remain on strike at United Metro Energy in New York. \n\n💪Stay strong, Teamsters!', 'Local 553 members at United Metro Energy are holding strong on the picket line in New York. These Teamsters have been on strike since April for a first contract.\n\nStay strong, Teamsters! ✊✊']"
153,148,153_unionpower_unionmember_honoring_feelthepower,"['unionpower', 'unionmember', 'honoring', 'feelthepower', 'wa', 'blackhistorymonth', 'community', 'member', 'blackhistorymonth2024', 'honored']","['#BlackHistoryMonth continues and so does our celebration of Black Americans’ contributions to #unionpower and #LIUNA!\nToday, meet Edward Strong, from Local 1421 in Boston, MA.', '#BlackHistoryMonth continues and so does our celebration of Black Americans’ contributions to #unionpower and #LIUNA!\nToday, meet Matthew John, from Local 609 in Framingham, MA.', '#BlackHistoryMonth continues and so does our celebration of Black Americans’ contributions to #unionpower and #LIUNA!\nToday, meet James Martin, from Local 242 in Seattle, WA.']"
154,147,154_workers_solidarity_strike_we,"['workers', 'solidarity', 'strike', 'we', 'support', 'united', 'labor', 'supporters', 'unitedwestand', 'ua']","['Stand with your Brothers and Sisters on strike at Warrior Met Coal! \n\n#WarriorMetsWrong #UnitedWeStand', ""One day longer, one day stronger! RWDSU  is out here in NYC for the United Mine Workers of America International Day of Action against Warrior Met Coal!\n\nWe're calling on Warrior Met and their investors to settle a fair contract with the miners who make Warrior Met profitable! #WarriorMetsWrong #1u"", '#UMWA miners out on the pickets lines for the Warrior Met Strike. \n\nWarrior Met Coal needs to end the strike… end the injustice. #WarriorMetsWrong']"
155,145,155_workers_unionsforall_wages_employees,"['workers', 'unionsforall', 'wages', 'employees', 'employer', 'contractors', 'wage', 'ridesharedriverjusticebill', 'prop', 'independent']","['We stand in solidarity with the hundreds of Massachusetts Uber and Lyft drivers who are demanding higher wages, job protections, and a union through the Rideshare Drivers Justice Bill 💪⚙️\n\nIndependent Drivers Guild', 'A good sign for Uber and Lyft drivers who want a union voice on the job!', 'Lyft and Uber drivers ON STRIKE for fair wages!']"
156,143,156_safety_safetyfirst_safes_construction,"['safety', 'safetyfirst', 'safes', 'construction', 'hseconference', 'workzonesafety', 'initiatives', 'uswhcwcconference', 'hse2018', 'national']","['Join us next week for a Facebook Live Q&A with Worker Health and Safety Experts on OSHA’s Failed Pandemic Response\nSafety Director Scotty MacNeill, worker safety experts Rick Engler and Dr. David Michaels along with UWUA safety committee members will discuss the real-time impacts of OSHA standards on UWUA members.  \n\nThe Facebook Live discussion begins October 21 at 7 P.M. ET/4 P.M. PT. RSVP now and share your questions ahead of time at webmaster@uwua.net. \n\nhttps://actionnetwork.org/events/exposed-at-work-a-qa-with-worker-health-and-safety-experts-on-oshas-failed-pandemic-response/?source=Facebook', 'CWA delegates meeting at the USW Health, Safety, and Environment Conference.', 'Hey #USW health care workers! Will we see you at the Steelworkers Health, Safety and Environment Conference on April 17-21 in Pittsburgh? Wednesday is a track dedicated to health care workers with specific workshops aimed at addressing health and safety issues within the sector and even a special panel. The rest of the week will contain several other workshops to boast your activism, such as building effective union-management health and safety committees, hazard mapping, mental health and more! For more information and to register please visit: usw.org/hseconference. #EverybodysUnion #HSE2023 #USWTMC']"
157,140,157_unionsforall_workers_employees_council,"['unionsforall', 'workers', 'employees', 'council', 'employers', 'wages', 'sector', 'worker', 'workplace', 'wage']","[""Finally, someone is looking out for the mom and pop stores like...McDonald's? \n.\nUnited Food and Commercial Workers International Union, Fight for $15, Fast Food Justice, Fast Food Forward, AFL-CIO."", ""All labor has dignity, and fast food is no different. McDonald's, it is time to respect your workers and pay them a living wage! #RaiseTheWage"", ""The California Senate just passed #AB257! This groundbreaking legislation will impact over 550K+ Fast-Food workers by giving them more power over their lives at work, and holding fast-food corporations like McDonald's accountable! This is a monumental win that will cover McDonald's, Wendy's, Starbucks and Chipotle workers, and more! It's time for fast-food workers to be RESPECTED, PROTECTED AND PAID!""]"
158,139,158_steelworkers_activists_workshops_conferences,"['steelworkers', 'activists', 'workshops', 'conferences', 'attendees', 'speakers', 'delegates', 'uswlife', 'townhall', 'news']","['The 2019 Rapid Response and Legislative Conference is coming up this fall, make sure you save the date! Go to usw.org/rr-conference for more information. #USWWorks', 'Hundreds of USW Rapid Response activists from local unions across the United States are headed to Capitol Hill today to lobby their lawmakers on the union’s core issues, including good jobs, safe staffing in nursing homes, retirement security, workers’ rights, fair trade, and the restoration of Trade Adjustment Assistance (TAA). \n\nMembers can get more information on the Rapid Response program by visiting usw.org/act/activism/rapid-response\n#USWRR24', ""Hey, USW District 4 members: Save the date for this year's Rapid Response conference! (And stay tuned for info about the national Rapid Response conference in Washington, D.C., set for this June!) #EverybodysUnion""]"
159,139,159_cannabisworkersunion_workers_unionize_union,"['cannabisworkersunion', 'workers', 'unionize', 'union', 'unionized', 'unionstrong', 'legalize', 'joined', 'family', 'protections']","['Workers at three California cannabis dispensaries have voted to unionize and joined UFCW Local 135  – the first time that has happened at any cannabis business in the region!\n\n#1u #UnionStrong', 'UFCW is the cannabis workers union. \n\nSo far this year, UFCW has supported workers in filing for union elections at 32 workplaces and ratifying 16 new contracts, resulting in 900 new UFCW cannabis members! \n\nLearn more about our work in the cannabis industry ➡️ https://bit.ly/40p8Sl0', ""ICYMI: Earlier this year, Arizona cannabis workers joined UFCW to form their state's FIRST EVER cannabis union! 🌵 They may have been the first, but they certainly won't be the last. UFCW is the cannabis workers' union!  \n\nLearn more: https://bit.ly/4d95RNd""]"
160,139,160_alsawarenessmonth_firefighters_support_alsawareness,"['alsawarenessmonth', 'firefighters', 'support', 'alsawareness', 'craftworkers', 'fda', 'org', 'supported', 'awareness', 'fundraising']","[""Los Angeles County, CA Local 1014 a top fundraising affiliate for #FilltheBoot. Join Muscular Dystrophy Association and the IAFF's virtual campaign to support muscular dystrophy today. \n\nhttp://filltheboot.donordrive.com"", '#Firefighters set to ‘Fill the Boot’ for Muscular Dystrophy Association', '#Firefighters fill the boot for Muscular Dystrophy Association']"
161,136,161_workers_discrimination_labor_events,"['workers', 'discrimination', 'labor', 'events', 'rights', 'economic', 'justice', 'strike', 'sanitation', 'civil']","['Across the United States, working people honored the sacrifices of two Memphis sanitation workers whose deaths triggered the historic 1968 sanitation workers’ strike. Echol Cole and Robert Walker were crushed to death on the job. The tragedy led to a walkout by 1,300 fellow sanitation workers. #IAM2018', ""Tomorrow marks the 50th anniversary of a watershed moment for both labor and the civil rights movements. On February 1, 1968 Memphis sanitation workers Echol Cole and Robert Walker were crushing them to death by their truck's malfunctioning compactor. The tragedy sparked the 1968 Memphis Sanitation Workers’ Strike. \n\nA “National Moment of Silence” is being observed tomorrow, February 1, in honor of the 50th Anniversary of the tragic events that precipitated the 1968 Sanitation strike. While the event has been organized by the American Federation of State, County and Municipal Employees (AFSCME), General President Hoffa and the Teamsters Waste Division wholeheartedly endorse it, and encourage all Teamster Local Unions to organize their own moments of silence with their members. Local Unions and their members should observe this day in whatever way best works for them. For more information, visit: https://iam2018.org/moment-of-silence/ \n\n #IAM2018 #iamColeandWalker"", 'On this day in 1968, Dr. Martin Luther King, Jr. led a march of AFSCME sanitation workers who were on strike in Memphis. \n\nHave you thanked a union today?']"
162,136,162_union_unionhall_responsibilities_administrative,"['union', 'unionhall', 'responsibilities', 'administrative', 'everybodysunion', 'secretaries', 'leadership', 'receptionists', 'uswworks', 'local']","['Next week’s “Teaching Tuesday” will cover “Contract Language Basics”. This course will help you understand your contract better and prepare you for future negotiations. #SmarterIsStronger \n \nRegister for the 11:00 a.m. program here: http://usw.to/TT4-12-11AM \nRegister for the 8:00 p.m. program here: http://usw.to/TT4-12-8PM', 'It’s June and we are ready to kick off a new month of TEACHING TUESDAY! \n\nThis week’s topic will cover the “Legal Rights and Responsibilities of Union Stewards”. So for all our front line representatives, make sure to sign up and find out what our steward’s legal rights are and where they come from. #SmarterIsStronger \n\nRegister for the 11:00 a.m. program here: http://usw.to/TT6-7-11AM \nRegister for the 8:00 p.m. program here: http://usw.to/TT6-7-8PM', 'In case you missed it, tomorrow’s TEACHING TUESDAY will cover the “Legal Rights and Responsibilities of Union Stewards”. Sign up now! #SmarterIsStronger \n\nRegister for the 11:00 a.m. program here: http://usw.to/TT6-7-11AM \nRegister for the 8:00 p.m. program here: http://usw.to/TT6-7-8PM']"
163,135,163_workers_wages_department_republicans,"['workers', 'wages', 'department', 'republicans', 'salaried', 'supportot', 'families', 'businesses', 'jobs', 'hours']","['Don\'t get too excited about tax-free overtime, because overtime ""won\'t be there. It won\'t exist.""', '""Rising inequality has had serious economic and fiscal effects. Key among them: It has hurt economic growth. By 2018, the rise in income inequality since 1979 was reducing growth in aggregate demand by about 1.5% of GDP. Rising inequality constrains overall economic growth by reducing economywide spending: Spending falls as inequality redistributes income from lower-income households (that need to spend more of their income to meet living expenses) to higher-income families (that have the luxury to save money). EPI’s estimate of the “all else equal” drag on household spending growth from rising inequality is based in part on a careful calculation of savings rates by income group that allows even savings decisions of very high-income households to be examined. For example, the data show that by 2018, the top 1% were securing 16.4% of income (income before taxes and benefits), up from 8.9% in 1979. And they were saving 30.6% of their income, over 60 times as much as the bottom fifth of households.""', 'Americans are working longer hours and still not getting ahead - and millions of workers are suffering from unpaid overtime. The Department of Labor released an overtime rule change proposal that would fix this problem by raising the base pay for overtime eligibility. Tell the DOL that you stand by their proposal so they can make it official.']"
164,135,164_celebrate_go_national_hero,"['celebrate', 'go', 'national', 'hero', 'students', 'be4all', 'children', 'them', 'california', 'make']","['Happy National School Lunch Week from AFT! This week, we recognize how important healthy school meals are for students to learn, and thank our school nutrition workers for feeding students & communities, and helping to create real solutions for kids.', 'We believe that every child deserves the opportunity to learn and thrive in safe and welcoming schools. We also know that learning and thriving is nearly impossible on an empty stomach. That’s why we’ve been working to expand school meal and nutrition programs, pressuring Congress to make healthy school meals for all a permanent program, and providing free, healthy meals to students and their families throughout the pandemic.\n\nIn honor of #NationalSchoolLunchWeek (October 11-15), we want to hear from you. Tell your story about how school meals would help your community here: https://www.aft.org/national-school-lunch-week/', 'School nutrition professionals make the meals that help students learn. Today, in honor of School Lunch Hero Day, make sure to thank all the hardworking food service workers in your life! 🍎']"
165,135,165_indigenouspeoplesday_nativeamericanheritageday_peoples_alaskanativeheritagemonth,"['indigenouspeoplesday', 'nativeamericanheritageday', 'peoples', 'alaskanativeheritagemonth', 'heritage', 'national', 'communities', 'proclamation', 'inhabitants', 'honoring']","['November is National Native American Heritage Month, and teaching the ways of life of Indigenous peoples from around the world is important to understanding our shared sense of humanity. \n\nShare My Lesson is your go-to resource for Indigenous peoples and Native American lesson plans with this free preK-12 collection of resources. Check it out: https://sharemylesson.com/collections/native-americans-and-indigenous-peoples', ""Today we celebrate Indigenous Peoples' Day and honor the cultures, histories, and contributions of Indigenous and Native communities. We stand in solidarity with Indigenous workers and their fight for justice, equity, and respect in the workplace and beyond. \n#StandUpUAW"", ""In honor of National Native American Heritage Month, let's celebrate the contributions and culture of indigenous peoples around the world. \n\nCheck out these Share My Lesson resources to learn more. https://sharemylesson.com/indigenous""]"
166,133,166_diversityweek_conference_1udiversityweek_august,"['diversityweek', 'conference', '1udiversityweek', 'august', 'org', 'events', 'diversityweek17', 'activists', 'leaders', 'education']","['The AFGE Women’s and Fair Practices Departments is hosting a series of member-only Racial Justice forums this week to allow AFGE members to share their experiences and identify ways our union can be a better advocate for communities of color. \n\nVisit http://afge.org/Webinars to register.', 'AFGE’s Field Services and Education department has four webinars coming up in February: Stewards Online Orientation (February 5), Basic Workers’ Compensation (February 20-21), Local Officers Online Orientation (February 25), and Introduction to Collective Bargaining (February 26). Webinars are available to all AFGE members but have a tendency to fill up, so sign up today! \n\nRegister for these or future webinars here: www.afge.org/webinars', 'Have you signed up for AFGE’s February webinars? Register today: www.afge.org/webinars\n\nAnd REMEMBER: AFGE Learn offers free training on demand! Visit www.afge.org/leaders-activists/education/afge-learn/ to learn more!']"
167,131,167_solidarity_solidarityinsteel_union_electionsmatter2016,"['solidarity', 'solidarityinsteel', 'union', 'electionsmatter2016', 'steelworkers', 'strongertogether', 'oneuniononevote', 'delegates', 'members', 'committees']","[""500 spouses of UAW members attend a meeting at Solidarity House—UAW's headquarters in Detroit, Michigan—to discuss the union’s collective bargaining and legislative programs. \n\nSolidarity House opened on July 14, 1951.\n\n#StandUpUAW\n\n📸 Walter P. Reuther Library, Archives of Labor & Urban Affairs"", 'A couple of vintage buttons from the new UAW collection at the Walter P. Reuther Library, Archives of Labor & Urban Affairs.', ""A 1960's get-out-the-vote message from the UAW's Solidarity Magazine, from the union's archives at the Walter P. Reuther Library, Archives of Labor & Urban Affairs.\n#StandUpUAW""]"
168,130,168_adsolidarityfund_workers_union_ca,"['adsolidarityfund', 'workers', 'union', 'ca', 'teamsters', 'san', 'organizing', 'joined', 'unionize', 'facilities']","['BREAKING: Over 100 Amazon warehouse workers at the trillion-dollar company’s DCK6 warehouse in San Francisco have joined the Teamsters and are demanding that Amazon recognize their union and negotiate a Teamsters contract.\n\nAmazon Teamsters at the San Francisco facility are the second group of Amazon workers in the last few weeks alone to go public in joining the Teamsters.\n\nThe Amazon Teamsters movement grows bigger and stronger every day and will not be stopped. Amazon workers: this is our moment. Join the Teamsters today!', 'Amazon workers at facilities across the United States are joining the Teamsters! \n\nToday, hundreds of Amazon drivers at the trillion-dollar company’s facility in Queens, N.Y., went public in joining the Teamsters and are demanding that Amazon recognize their union and negotiate a Teamsters contract. \n\nAmazon workers: this is our moment. Join the Teamsters today!', 'Amazon Teamsters are making historic breakthroughs to unionize Amazon. \n\nToday, hundreds of Amazon drivers at the trillion-dollar company’s facility in Victorville, Calif., went public to become Teamsters and are demanding that Amazon recognize their union and negotiate a Teamsters contract. \n\nA mass movement of Amazon workers fighting to organize Amazon with the Teamsters Union has erupted at facilities across the United States. \n\nAmazon workers: this is our moment. Join the Teamsters today!']"
169,130,169_union_unionize_workers_unionstrong,"['union', 'unionize', 'workers', 'unionstrong', 'coworkers', 'organizeyourworkplace', 'workplace', 'organizing', 'organize', 'work']","['Don’t quit, organize! You and your co-workers together have the power to change your workplace for the better. Contact a union organizer today: https://www.rwdsu.info/contact_an_organizer #1u #OrganizeYourWorkplace', 'If not now, when? If not you, who? It’s always the right time organize your workplace for the better. Contact an organizer today: https://www.rwdsu.info/contact_an_organizer #1u', 'Let’s build a strong union in your workplace. Contact an organizer: https://www.rwdsu.info/contact_an_organizer #1u']"
170,129,170_union_workers_unionized_unite,"['union', 'workers', 'unionized', 'unite', 'unitehere', 'workplace', 'legislation', 'seattle', 'chicago', 'local']","[""Workers at Donald Trump's Las Vegas hotel recently formed a union and now Trump refuses to negotiate with them. So thousands of AFSCME members rallied in solidarity with their sisters and brothers from the Culinary Workers Union outside of Trump's hotel."", 'Some photos from Trump Hotel Rally in DC. Solidarity with the working families who are fighting for a contract at the Trump Las Vegas Hotel! #UniteAC #1u', '""Workers with unions have more ability to object. In Chicago, the City Council just passed an ordinance requiring hotel employers to provide hotel workers who work alone in rooms with a portable “panic button” to summon help from hotel security. It also requires hotels to make public their anti-sexual harassment policies, affords hotel workers the right to stop work and leave a room if they feel threatened and prohibits hotel employers from retaliating against hotel workers who report sexual harassment or assault.""\n\nThis ordinance would not have been passed if not for the fight led by UNITE HERE Local 1. Thanks to their efforts, research, and bravery speaking out, #HandsOffPantsOn legislation sets the precedent that, in Chicago, sexual harassment in the hotel industry will not be tolerated. \n\n#unitehere  #HandsOffPantsOn']"
171,128,171_cosponsored_usw2020_newyearsresolution_teamwork,"['cosponsored', 'usw2020', 'newyearsresolution', 'teamwork', 'news', 'standdown', 'foxnews', 'goals', 'yawn', 'benefits']","['#1u', '✊ #1u', '✊🏻✊🏼✊🏽✊🏾✊🏿 #1U']"
172,126,172_wages_notourlaborsecretary_labor_worker,"['wages', 'notourlaborsecretary', 'labor', 'worker', 'antilaborsecretary', 'wage', 'antilabor', 'notourlaborsec', 'corporations', 'company']","[""Ever wonder why Andy Puzder would be bad for working families as secretary of Labor? Here are some reasons: Puzder's corporation CKE Restaurants is a persistent labor law violator, Puzder believes that workers in his industry should be replaced by machines, and Puzder opposes an overtime rule that would raise wages for millions of American workers. Working families deserve better, call your Senator now at 1-855-534-1774! http://go.cwa.net/2jVh3F5"", 'Puzder would be a disaster for workers.', ""Workers need a Labor Secretary that is pro-worker. That's not Andrew Puzder.""]"
173,126,173_wishing_we_edu_collective,"['wishing', 'we', 'edu', 'collective', 'peace', 'bring', 'togetherness', 'wishes', 'happiness', 'celebrate']","['Happy #Hanukkah to all who celebrate! ✡️', 'Happy Hanukkah to all who celebrate! 🕎', 'Happy Hanukkah to all who celebrate!']"
174,125,174_workers_employers_togetherwefighttogetherwewin_involved,"['workers', 'employers', 'togetherwefighttogetherwewin', 'involved', 'togetherwefighttogetherwewi', 'support', 'go', 'protections', 'org', 'governors']","['All frontline transit workers hazard pay. Take action to support Safe Service for transit workers and riders at https://bit.ly/safeservicenow', 'All transit workers deserve hazard pay amidst the COVID-19 pandemic. \n\nTake action to support Safe Service Now for transit workers and riders at https://bit.ly/safeservicenow', 'ATU Locals across the U.S. and Canada are fighting for Safe Service protections for transit workers and riders during the COVID-19 pandemic.\n\nTake action for Safe Service Now for transit workers now at https://bit.ly/safeservicenow.']"
175,125,175_union_crews_unionmade_members,"['union', 'crews', 'unionmade', 'members', 'buccaneers', 'uswmade', 'ufcw', 'employeeappreciationday', 'chiefs', 'seahawks']","[""Make sure it's UNION-MADE on Super Bowl Sunday!"", 'Make it a union-made Super Bowl Sunday! 🏈', 'As you plan and shop for the big game this Sunday, make sure your Super Bowl is Union-Made! #1u #SuperBowl']"
176,124,176_charity_teamsters2016_delegates_uswcares,"['charity', 'teamsters2016', 'delegates', 'uswcares', 'committee', 'assistance', 'conference', 'attend', 'convention', 'staff']","['See you at the William W. Winpisinger Education and Technology Center, Jeff!', ""William W. Winpisinger Education and Technology Center's Women's Leadership Class."", 'Fighting for our future and taking care of business! The IAM William Winpisinger Education Center working hard to train members across the USA and Canada. William W. Winpisinger Education and Technology Center <redacted_mention> Transportation Communications Union / IAM']"
177,123,177_transitworkerappreciationday_congress_workers_mypublictransitstory,"['transitworkerappreciationday', 'congress', 'workers', 'mypublictransitstory', 'worker', 'fare', 'civil', 'transit', 'transportation', 'savetransit2021']","['Cleveland transit workers and allies call for more investment in public transit', ""Today we're celebrating Transit Workers for getting us all where we want to be. \n\nThank you to all transit workers, including the many wonderful members of the IAM who work in transit and in transit-supporting industries! \n\nHappy #TransitWorkerAppreciationDay ✈️🚄🚇🚙🚁🚉"", 'COVID-19 pandemic highlights the critical role of public transit this Transit Equity Day\n\nATU International President John A. Costa released the following statement to mark Transit Equity Day and Rosa Parks\' birthday.\n\n""The COVID-19 pandemic has put into sharp focus the significant role public transit plays in our society and the disparities that exist to this day. Public transit has been a lifeline to our communities and essential workers, doctors, nurses, and sanitation workers who must get to their life-saving jobs.""  \n\n""This year\'s Transit Equity Day during the pandemic, our struggle towards freedom and equality in honor of Rosa Parks is even more pressing. We must continue to courageously demand access to equitable public transportation as a civil right for all."" \n\nRead the full statement at http://bit.ly/3ATU-Transit-Equity-Day']"
178,123,178_nationallibraryworkersday_workers_unionize_union,"['nationallibraryworkersday', 'workers', 'unionize', 'union', 'employees', 'staff', 'united', 'workplace', 'patrons', 'council']","[""TAKE ACTION NOW to help Maryland's public library workers!"", 'On National Library Workers Day, we celebrate and honor all library workers across the nation. Libraries offer more than books. Libraries support and strengthen the foundation of our democracy — the free exchange of information and ideas for all.\n\nJoin us in thanking the 25,000 AFSCME library workers across the nation by signing our card today: https://afscme.org/hub/thank-a-library-worker', ""In honor of National Library Workers Day and National Library Week, we asked AFSCME members to send messages to our library professionals. Here's what they said.""]"
179,122,179_org_union_attend_enrollment,"['org', 'union', 'attend', 'enrollment', 'unionplus', 'associate', 'sessions', 'members', 'ebsunioncollegebenefit', '2021']","['It’s AFSCME’s mission to give you every advantage to get ahead. That’s why we’ve partnered with Eastern Gateway Community College. Through the AFSCME Free College benefit, you and your family members can now earn an associate degree completely online – for FREE. Learn how the benefit works here: http://freecollege.afscme.org/', 'The AFSCME Free College Benefit makes it possible for you and your family members to earn an associate degree completely online – for FREE. Check it out: https://freecollege.afscme.org/', 'New benefit available to AFSCME Members: A Free Associate College Degree!\n\nGo to http://freecollege.afscme.org to learn more about how you and your family can earn a completely free community college education.']"
180,121,180_unionsforall_wages_workers_unitedforsafetyatswedish,"['unionsforall', 'wages', 'workers', 'unitedforsafetyatswedish', 'staffing', 'strikeforourlives', 'solidarity', 'staff', 'healthcare', 'strike']","['Caregivers at 21 nursing homes across Pennsylvania are going ON STRIKE to address unsafe staffing levels, a global pandemic, and outdated nursing home regulations. SEIU Healthcare Pennsylvania ✊🏻✊🏼✊🏽✊🏾✊🏿 Show up and show your support:  https://seiu.co/investincare', 'WATCH: Nursing home workers from coast to coast are speaking up and demanding good union jobs, safe staffing levels, affordable healthcare, paid sick leave, holding nursing home corporations accountable and quality care for residents. #CareIsEssential #UnionsForAll', 'ICYMI: Nursing home workers at 39 Connecticut nursing homes are ready to strike for fair wages and safe staffing levels!']"
181,120,181_benefits_scholarships_university_teamsters,"['benefits', 'scholarships', 'university', 'teamsters', 'scholarship', 'students', 'college', 'financial', 'members', 'seniors']","['The sons and daughters of Teamster members (including GCC, BLET and BMWED members) are invited to apply for college and vocational or training program scholarships from the James R. Hoffa Memorial Scholarship Fund. Details can be found at www.jrhmsf.org', 'Vocational/Training scholarships (up to $2,000) are now available from the James R. Hoffa Memorial Scholarship Fund in addition to the Academic Scholarship ($10,000 or $1,000). These scholarship opportunities are for the sons and daughters of Teamster members (including the BLET, BMWED and GCC). Please see the new website to obtain an application:  www.jrhmsf.org', 'The new online system for submitting applications for the Academic or Vocational scholarships from the James R. Hoffa Memorial Scholarship Fund is now available. Please click here to apply: www.jrhmsf.org.  \nThe scholarships are for the sons and daughters of Teamster members (including the BLET, BMWED and GCC). *Deadline is March 31.']"
182,120,182_americasfightingdemocraticunion_union_association_organizetheskies,"['americasfightingdemocraticunion', 'union', 'association', 'organizetheskies', 'members', 'campaign', 'crewmembers', 'unitedinvincible', 'voting', 'wemoveamerica']","['JetBlue inflight crewmembers, are you voting YES for TWU? Show your support with our profile picture frame!', 'JetBlue IFCs took on Capitol Hill this week. Pictured are TWU JetBlue Health & Safety Committee Chair Shane Rogers-Mauro, TWU Political Action Director Regina Eberhart and TWU JetBlue Legislative Affairs Committee Chair Erron Ford.', 'Members of Local 556 are ready to take part in the Association of Flight Attendants press conference on aircraft cabin temperature regulations. TWU also represents TWU JetBlue Inflight, Allegiant and Flight Services International flight attendants.']"
183,118,183_iwillvote_electionday_ballot_votingabsentee,"['iwillvote', 'electionday', 'ballot', 'votingabsentee', 'nycabsentee', 'rwdsu2021electionhub', 'vote', 'voting', 'nycvotes', 'rwdsu_2020_election_hub']","['NY voters: the early voting period for the 6/22 primary begins on Sat, June 12! Make a plan to vote – whether you’re voting by absentee ballot, voting early, or voting on Election Day. \n\nFind your pollsite: https://findmypollsite.vote.nyc/\n\nRequest a ballot ASAP: https://nycabsentee.com/\n\nLearn more about Ranked Choice Voting: https://bit.ly/rwdsuRCVFlyers', 'Georgia voters: early voting begins today and continues through October 29! Make a plan to vote, whether you’re voting early, by mail, or on Election Day. Check out the RWDSU election hub to find your voting location and hours: https://www.rwdsu.info/rwdsu2021electionhub_ga', 'It’s never too early to make your plan to vote – especially if you need to register to vote or request an absentee ballot! \n\nHead to the RWDSU Election Hub to find all the info you need: https://www.rwdsu.org/election-hub']"
184,116,184_union_laborers_labor_council,"['union', 'laborers', 'labor', 'council', 'membermonday', 'secretaries', 'elect', 'department', 'laborer', 'rights']","['The ATU applauds the Senate confirmation of Boston Mayor and former union leader Marty Walsh as the new Secretary of Labor. Mayor Walsh has been an ally to our members of Boston Carmen’s Union Local 589, standing with us to fight and stop efforts to privatize the bus system. We look forward to working with Secretary Walsh to improve the rights and labor protections of all working people. #TogetherWeFightTogetherWeWin', 'Thanks to Labor Secretary Marty Walsh for joining us!', 'The great Mayor of Boston Marty Walsh!']"
185,116,185_inauguration_inagurationday2021_work_solidarity,"['inauguration', 'inagurationday2021', 'work', 'solidarity', 'connectionjulyaug2019', 'uswatwork', 'everybodysunion', 'usw_workvol14', 'uswlife', 'uswnt']","['Let’s all welcome our new brothers, sisters and siblings from Local 2227, Irvin Works, to the Steelworker family! #USWUnity', 'Welcome to the Steelworker family! #USWUnity', 'Welcome to our family!! #USWUnity']"
186,115,186_union_nationwide_unionized_represented,"['union', 'nationwide', 'unionized', 'represented', 'teamunion', 'bill', 'unionplus', 'provider', 'employing', 'plan']","['Fall in love with extra wireless savings, exclusively for union members! Switch to AT&T Wireless and get $100 in bill credits PER LINE when you buy a new smartphone on a qualifying installment plan with an eligible AT&T wireless plan.\n\n* Offer ends 10/31!\nSwitch & Save: https://unionplus.click/u86\n\n*Exclusions and limitations apply. Visit unionplus.org/att for more details.', 'Fall in love with extra wireless savings, exclusively for union members! Switch to AT&T Wireless and get $100 in bill credits PER LINE when you buy a new smartphone on a qualifying installment plan with an eligible AT&T wireless plan.* Offer ends 10/31!\n \nSwitch & Save: https://unionplus.click/u86\n \n*Exclusions and limitations apply. Visit unionplus.org/att for more details.', 'You could save on wireless this holiday season with @Union Plus benefits! USW members save 15% on the monthly service charge of qualified wireless plans and 20% on select accessories from AT&T. Click the link for more details on this exclusive wireless discounts - http://unionplus.deals/2ce7.']"
187,115,187_lifeline_bipartisan_org_utm_campaign,"['lifeline', 'bipartisan', 'org', 'utm_campaign', 'federal', 'policy', 'proposal', 'protect', 'email', 'utm_source']","['Join us for a virtual fireside chat with Federal Communications Commission (FCC) Acting Chairwoman Jessica Rosenworcel, CWA President Chris Shelton and a group of CWA members from our Build Broadband Better project.\n\nThe discussion, which will be moderated by CWA District 4 Vice President Linda Hinton, will focus on how the FCC is addressing the pressing need for affordable, reliable broadband service and what CWA members can do to help promote broadband access in their communities.', 'US Senators Maggie Hassan, Roger Wicker, and Jerry Moran introduced the Mobile Accuracy and Precision Broadband Act to improve the accuracy of the FCC’s wireless broadband coverage map. The legislation ensures that federal resources are targeting unserved areas that do not have access to reliable mobile broadband service. The FCC’s seriously-flawed mobile coverage map threatens to exclude many rural communities from much-needed wireless broadband support. https://speedmatters.org/news/bipartisan-group-of-senators-aim-address-wireless-coverage-map?utm_medium=email&utm_source=speedmatters&utm_campaign=20180604WeeklyUpdate&link_id=6&can_id=404f9c12df82468355d663544cb8ae66&email_referrer=email_364169&email_subject=the-broadband-bulletin-this-week-in-telecom-policy-news', 'We will keep fighting for broadband for all. \nhttps://cwa-union.org/news/cwa-leaders-continue-fight-for-affordable-broadband-access-for-all']"
