Region,Case Number,Case Name,Case Type,City,State,Election Held Date,Number of Eligible Voters,Valid Votes Against,Votes for Labor Org 1,Labor Org 1 Name,"Stipulated
/ Consent
/ Directed",Certification of Representative Date (Win),Certification of Results Date (Loss),Case Closed Date,Closed Reason,Votes for Labor Org 2,Labor Org 2 Name,Union To Certify,Votes for Labor Org 3,Labor Org 3 Name,For Proposition,Against Proposition	,"Stipulated / Consent
/ Directed",Against Proposition,Dispute Unit City,Dispute Unit State,Num Eligible Voters,"Stipulated
/ Consent / Directed",Cert of Rep (Win),Cert of Results (Loss),Closed Date,Votes For Labor Org3,Labor Org3,Stipulated/Consent,Case ID,Stipulated / Consent / Directed
3,03-RC-181287,"M.J. Dreher Trucking, Inc.",RC,Brockport,NY,2016-08-25,15.0,13.0,2.0,"International Brotherhood of Teamsters, Local 118",Directed,,LOSS,2016-09-02,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3,03-RC-181293,"Cranesville Block Co., Inc.",RC,Oneonta,NY,2016-08-29,4.0,0.0,2.0,"International Brotherhood of Teamsters, Local 294",Directed,WON,,2016-09-07,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3,03-RC-181309,"Cranesville Block Co., Inc.",RC,Amsterdam,NY,2016-08-30,6.0,0.0,3.0,"International Brotherhood of Teamsters, Local 294",Directed,WON,,2016-09-07,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3,03-RC-182284,"Vermont Gas Systems, Inc.",RC,South Burlington,VT,2016-09-15,3.0,0.0,3.0,"International Brotherhood of Electrical Workers, Local 300",Stipulated,WON,,2016-09-23,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3,03-RC-182598,Rochester Gas & Electric Corporation,RC,Rochester,NY,2016-09-13,1.0,0.0,1.0,"INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS, LOCAL UNION 36",Directed,WON,,2016-09-13,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-128119,"Compass Group, USA, Inc.",RC,Galloway,NJ,2015-12-16,121.0,67.0,33.0,"Philadelphia Joint Board, Workers United A/W SEIU",Stipulated,,LOSS,2015-12-28,Certification of Results,,,,,,,,,,,,,,,,,,,,,
4,04-RC-143831,The Pennsylvania Virtual Charter School,RC,King of Prussia,PA,2015-03-12,83.0,15.0,57.0,"PA Virtual Charter Education Association, PSEA/NEA",Directed,WON,,2016-09-19,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-154040,"Compass Group USA, Inc. d/b/a Crothall Healthcare, Inc.",RC,Allentown,PA,2015-07-10,212.0,71.0,129.0,Teamsters Local 773,Stipulated,WON,,2015-10-07,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-158909,"Techmer Engineered Solutions, LLC",RC,Aston,PA,2015-09-22,37.0,8.0,26.0,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Worke",Stipulated,WON,,2015-10-01,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-159345,"Campus Crest Communities, Inc.",RC,Philadelphia,PA,2015-09-23,3.0,0.0,3.0,OPERATING ENGINEERS LOCAL 835,Stipulated,WON,,2015-10-02,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-159519,Coca-Cola Company,RC,Allentown,PA,2015-10-01,84.0,24.0,58.0,"Teamsters Local 773, a/w International Brotherhood of Teamsters",Stipulated,WON,,2015-10-14,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-159557,True2Form Collision Repair Centers LLC d/b/a Gerber Collision and Glass,RC,Bath,PA,2015-09-23,9.0,5.0,3.0,"Teamsters Local 773, a/w International Brotherhood of Teamsters",Stipulated,,LOSS,2015-10-02,Certification of Results,,,,,,,,,,,,,,,,,,,,,
4,04-RC-159588,Motts LLP,RC,Bethlehem,PA,2015-10-09,34.0,15.0,19.0,Teamsters Local Union No. 830,Stipulated,WON,,2015-10-20,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-159682,"Sands Bethworks Gaming, LLC d/b/a Sands Casino Resort Bethlehem",RC,Las Vegas,NV,2015-10-16,146.0,38.0,90.0,"International Union, Security, Police and Fire Professionals of America (SPFPA)",Stipulated,WON,,2015-10-27,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-159943,The Wood Company a/k/a Sodexo,RC,Radnor,PA,2015-10-08,59.0,25.0,27.0,"Philadelphia Joint Board, Workers United Local 274",Stipulated,WON,,2015-10-20,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-159980,The American Bottling Company,RC,Bethlehem,PA,2015-10-09,29.0,15.0,3.0,Teamsters Local Union No. 830,Stipulated,,LOSS,2015-10-20,Certification of Results,,,,,,,,,,,,,,,,,,,,,
4,04-RC-160828,"Sunbelt Rentals, Inc.",RC,Aston,PA,2015-10-15,6.0,0.0,6.0,International Union of Operating Engineers Local 542,Stipulated,WON,,2015-10-27,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-160921,Allied Crawford Steel,RC,Middletown,PA,2015-10-28,11.0,6.0,5.0,Teamsters Local Union No. 776,Directed,,LOSS,2016-03-16,Certification of Results,,,,,,,,,,,,,,,,,,,,,
4,04-RC-161246,Devon Manor-Devon PA d/b/a Devon Manor,RC,Devon,PA,2015-10-30,35.0,11.0,19.0,National Union of Hospital and Health Care Employees District 1199C,Directed,WON,,2016-09-20,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-161634,"W. J. & R. Electrical, Inc.",RC,Northampton,PA,2015-11-04,7.0,5.0,2.0,"Local Union No. 375, International Brotherhood of Electrical Workers, AFL-CIO",Stipulated,,LOSS,2015-12-02,Certification of Results,,,,,,,,,,,,,,,,,,,,,
4,04-RC-161690,J.A. Mitchell Electric LLC,RC,Philadelphia,PA,2015-11-02,5.0,3.0,2.0,"International Brotherhood of Electrical Workers, Local 98",Stipulated,,LOSS,2015-11-16,Certification of Results,,,,,,,,,,,,,,,,,,,,,
4,04-RC-161736,"Keough Electric, Inc.",RC,Philadelphia,PA,2015-11-06,20.0,8.0,7.0,International Brotherhood of Electrical Workers Local 98,Stipulated,,LOSS,2016-02-25,Certification of Results,,,,,,,,,,,,,,,,,,,,,
4,04-RC-162031,"Xylem Dewatering Solutions, Inc. d/b/a Godwin Pumps of America",RC,Bridgeport,NJ,2015-11-13,100.0,68.0,28.0,International Union of Operating Engineers Local 825,Stipulated,,LOSS,2015-11-24,Certification of Results,,,,,,,,,,,,,,,,,,,,,
4,04-RC-162519,LaSalle University,RC,Philadelphia,PA,2015-11-16,50.0,28.0,21.0,"INTERNATIONAL UNION, SECURITY POLICE AND FIRE PROFESSIONALS OF AMERICA",Stipulated,,LOSS,2015-11-25,Certification of Results,,,,,,,,,,,,,,,,,,,,,
4,04-RC-162858,"AmeriGas Propane, Inc.",RC,Woodbine,NJ,2015-11-19,10.0,1.0,9.0,International Brotherhood of Electrical Workers Local 1293,Stipulated,WON,,2015-12-01,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-164545,"L & J Transportation Co., Inc.",RC,Pottstown,PA,2015-12-16,47.0,21.0,10.0,Teamsters Local 929,Stipulated,,LOSS,2015-12-28,Certification of Results,,,,,,,,,,,,,,,,,,,,,
4,04-RC-165500,Bloom Waste Services,RC,Cherry Hill,NJ,2016-01-04,10.0,1.0,9.0,Teamsters Local 676,Stipulated,WON,,2016-01-14,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-165576,"Lucas Motor Company, Inc., d/b/a Lucas Ford",RC,Burlington,NJ,2016-01-06,13.0,6.0,7.0,United Service Workers Union Local 455 (IUJAT),Stipulated,WON,,2016-01-15,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-166539,"Tenet HealthSystem Hahnemann, LLC",RC,Philadelphia,PA,2016-01-20,846.0,117.0,516.0,Pennsylvania Association of Staff Nurses and Allied Professionals,Stipulated,WON,,2016-01-29,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-166624,Delaware County Memorial Hospital,RC,Upper Darby,PA,2016-01-16,355.0,130.0,164.0,Pennsylvania Association of Staff Nurses and Allied Professionals (PASNAP),Stipulated,WON,,2016-01-28,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-166984,Bethlehem Haulage LLC,RC,Bethlehem,PA,2016-01-28,58.0,27.0,29.0,INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 773,Stipulated,WON,,2016-05-12,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-167699,"Ivy Hill SNF, LLC",RC,Philadelphia,PA,2016-02-16,25.0,1.0,17.0,"1199C, National Union of Hospital and Health Care Employees, AFSCME, AFL-CIO",Directed,WON,,2016-02-26,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-167708,"Tenet HealthSystem St. Christopher's Hospital for Children, LLC",RC,Philadelphia,PA,2016-02-10,462.0,49.0,311.0,Pennsylvania Association of Staff Nurses and Allied Professionals (PASNAP),Stipulated,WON,,2016-02-22,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-167806,Clean Air Council,RC,Philadelphia,PA,2016-02-03,22.0,12.0,7.0,"Newspaper Guild of Greater Philadelphia, CWA, Local 38010",Stipulated,,LOSS,2016-02-17,Certification of Results,,,,,,,,,,,,,,,,,,,,,
4,04-RC-168001,"Northwoods Paper Converting, Inc.",RC,East Stroudsburg,PA,2016-02-12,75.0,52.0,19.0,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial Service Workers I",Stipulated,,LOSS,2016-02-22,Certification of Results,,,,,,,,,,,,,,,,,,,,,
4,04-RC-168323,"SCHC Pediatric Associates, LLC d/b/a St. Christopher's Pediatric Associates",RC,Philadelphia,PA,2016-02-11,28.0,2.0,18.0,Pennsylvania Association of Staff Nurses and Allied Professionals,Stipulated,WON,,2016-02-23,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-168382,Chestnut Ridge Retirement Living,RC,Chester,PA,2016-02-19,51.0,31.0,18.0,"International Brotherhood of Teamsters, Local 312",Stipulated,,LOSS,2016-03-01,Certification of Results,,,,,,,,,,,,,,,,,,,,,
4,04-RC-168447,Whitestone Care Center,RC,Stroudsburg,PA,2016-02-26,19.0,5.0,14.0,SEIU Healthcare Pennsylvania,Directed,WON,,2016-03-10,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-168492,HHS LLC,RC,Philadelphia,PA,2016-02-26,74.0,1.0,63.0,SEIU Healthcare Pennsylvania,Stipulated,WON,,2016-03-10,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-168670,Whitestone Care Center,RC,Stroudsburg,PA,2016-02-26,76.0,5.0,53.0,SEIU Healthcare Pennsylvania,Stipulated,WON,,2016-03-10,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-168746,Delaware County Memorial Hospital,RC,Philadelphia,PA,2016-02-19,105.0,17.0,61.0,Pennsylvania Association of Staff Nurses and Allied Professionals,Stipulated,WON,,2016-03-01,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-168921,Safe Harbor Water Power Corporation,RC,Conestoga,PA,2016-02-24,22.0,13.0,7.0,International Brotherhood of Electrical Workers Local 777,Stipulated,,LOSS,2016-03-07,Certification of Results,,,,,,,,,,,,,,,,,,,,,
4,04-RC-169129,Jones-Lang-LaSalle Americas Inc.,RC,Ludlow,MA,2016-03-02,9.0,4.0,4.0,Steamfitters Local Union 420,Stipulated,,LOSS,2016-03-14,Certification of Results,,,,,,,,,,,,,,,,,,,,,
4,04-RC-169168,"CRS Facility Services, LLC",RC,Philadelphia,PA,2016-02-26,23.0,1.0,11.0,UNITED FOOD & COMMERCIAL WORKERS UNION LOCAL 152,Stipulated,WON,,2016-03-10,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-169183,R.F. Ohl Fuel Oil Inc.,RC,Lehighton,PA,2016-02-24,5.0,3.0,2.0,INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 773,Stipulated,,LOSS,2016-03-07,Certification of Results,,,,,,,,,,,,,,,,,,,,,
4,04-RC-169192,Lancaster Emergency Medical Services Association,RC,Lancaster,PA,2016-03-03,106.0,55.0,31.0,Pennsylvania Professional Fire Fighters Association,Stipulated,,LOSS,2016-03-15,Certification of Results,,,,,,,,,,,,,,,,,,,,,
4,04-RC-170989,Albert Einstein Medical Center,RC,Philadelphia,PA,2016-04-08,925.0,343.0,463.0,Pennsylvania Association of Staff Nurses and Allied Professionals (PASNAP),Directed,WON,,2016-07-11,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-171079,"PODS Enterprises, LLC",RC,Vineland,NJ,2016-03-31,4.0,0.0,4.0,International Brotherhood of Teamsters Local 331,Stipulated,WON,,2016-04-11,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-171568,"Southern Chester County EMS, Inc.",RC,West Grove,PA,2016-04-05,15.0,6.0,9.0,Pennsylvania Professional Fire Fighters Association,Stipulated,WON,,2016-04-15,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-171714,LKQ Inc. d/b/a Accucore Supply,RC,Philadelphia,PA,2016-04-07,15.0,9.0,5.0,INTERNATIONAL CHEMICAL WORKERS UNION COUNCIL OF THE UNITED FOOD & COMMERCIAL WORKERS INTERNATIONAL U,Stipulated,,LOSS,2016-04-18,Certification of Results,,,,,,,,,,,,,,,,,,,,,
4,04-RC-171753,Advance Management Corporation (AMC),RC,Moorestown,NJ,2016-05-06,21.0,12.0,3.0,"Road Sprinkler Fitters Local Union No. 669, U.A., AFL-CIO",Stipulated,,LOSS,2016-05-16,Certification of Results,,,,,,,,,,,,,,,,,,,,,
4,04-RC-173248,Richland Partners d/b/a Leffler Energy,RC,Mount Joy,PA,2016-05-05,30.0,7.0,16.0,"International Brotherhood of Teamsters Chauffeurs, Warehousemen and Helpers of America Local 771",Stipulated,WON,,2016-05-16,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-173942,"Meridian Electrical Associates, Inc.",RC,Philadelphia,PA,2016-05-09,29.0,19.0,5.0,"International Brotherhood of Electrical Workers, Local 98",Stipulated,,LOSS,2016-05-20,Certification of Results,,,,,,,,,,,,,,,,,,,,,
4,04-RC-174064,"Inspira Health Network LIFE, Inc.",RC,Vineland,NJ,2016-05-16,28.0,8.0,18.0,United Food and Commercial Workers Local 1360,Stipulated,WON,,2016-05-31,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-174230,Mission Foods,RC,Mountain Top,PA,2016-05-12,430.0,176.0,264.0,United Food & Commercial Workers Union Local 1776,Stipulated,WON,,2016-05-23,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-174966,"L. F. Driscoll Company, LLC",RC,Camden,NJ,2016-05-27,11.0,4.0,4.0,Northeast Regional Council of Carpenters,Stipulated,,LOSS,2016-06-09,Certification of Results,,,,,,,,,,,,,,,,,,,,,
4,04-RC-175288,New Lifecare Hospitals of Chester County LLC,RC,West Chester,PA,2016-05-25,67.0,29.0,27.0,Pennsylvania Association of Staff Nurses and Allied Professionals (PASNAP),Stipulated,,LOSS,2016-06-27,Certification of Results,,,,,,,,,,,,,,,,,,,,,
4,04-RC-175742,"American Water Works Service Company, Inc.",RC,Scanton,PA,2016-06-02,26.0,4.0,18.0,"Utility Workers Union of America, AFL-CIO, System Local No. 537",Stipulated,WON,,2016-06-13,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-175745,"Airgas USA, LLC",RC,Bellmawr,NJ,2016-06-01,21.0,13.0,8.0,International Brotherhood of Teamsters Local Union 463,Stipulated,,LOSS,2016-06-13,Certification of Results,,,,,,,,,,,,,,,,,,,,,
4,04-RC-175901,"Controlled Environmental Certification Services, Inc. d/b/a Micro-Clean, Inc.",RC,Bethlehem,PA,2016-06-02,31.0,9.0,23.0,Sheet Metal Workers Local Union No. 19,Stipulated,WON,,2016-06-13,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-176321,"First Student, Inc.",RC,Plymouth Meeting,PA,2016-06-15,1.0,0.0,1.0,"International Union of Operating Engineers, Local 542, AFL-CIO",Stipulated,WON,,2016-06-27,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-176559,"Federal Building Services, Inc.",RC,Atlantic City,NJ,2016-06-10,9.0,0.0,7.0,"United Food and Commercial Workers International Union, Local 152",Directed,WON,,2016-06-20,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-176814,"Tenet HealthSystem St. Christopher's Hospital for Children, LLC",RC,Philadelphia,PA,2016-06-24,247.0,7.0,161.0,"District 1199C, National Union of Hospital and Health Care Employees, AFSCME, AFL-CIO",Directed,WON,,2016-07-07,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-176921,"System Freight, Inc.",RC,Reading,PA,2016-07-01,7.0,0.0,7.0,Teamsters Local Union 429,Stipulated,WON,,2016-07-15,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-177093,Bombardier Transportation (Holdings) USA Inc.,RC,Camden,NJ,2016-06-08,16.0,0.0,14.0,"SMART (International Association of Sheet Metal, Air, Rail & Transportation Workers) AFL/CIO",Directed,WON,,2016-06-20,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-177241,Delaware County Memorial Hospital,RC,Drexel Hill,PA,2016-06-24,221.0,60.0,95.0,"District 1199C, National Union of Hospital and Health Care Employees, AFSCME, AFL-CIO",Directed,WON,,2016-07-07,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-177457,"Penn Stainless Products, Inc.",RC,Quakertown,PA,2016-06-22,85.0,45.0,25.0,International Brotherhood of Teamsters Local 773,Stipulated,,LOSS,2016-07-06,Certification of Results,,,,,,,,,,,,,,,,,,,,,
4,04-RC-177534,"Flowers Baking Company of Oxford, Inc.",RC,Oxford,PA,2016-06-24,31.0,18.0,9.0,"Bakery, Confectionery, Tobacco Workers and Grain Millers International Union, Local 492",Directed,,LOSS,2016-07-07,Certification of Results,,,,,,,,,,,,,,,,,,,,,
4,04-RC-177840,Bombardier Transportation (Holdings) USA Inc.,RC,Camden,NJ,2016-06-23,7.0,4.0,2.0,"SMART (International Association of Sheet Metal, Air, Rail & Transportation Workers) AFL/CIO",Stipulated,,LOSS,2016-07-06,Certification of Results,,,,,,,,,,,,,,,,,,,,,
4,04-RC-177948,"Inspira Medical Centers, Inc.",RC,Woodbury,NJ,2016-07-20,103.0,52.0,27.0,International Association of EMTs and Paramedics / NAGE/ SEIU Local 5000,Directed,,LOSS,2016-08-01,Certification of Results,,,,,,,,,,,,,,,,,,,,,
4,04-RC-178554,"SCHC Pediatric Associates, LLC d/b/a St. Christopher's Pediatric Associates",RC,Philadlelphia,PA,2016-07-12,115.0,24.0,55.0,"District 1199C, National Union of Hospital and Health Care Employees (NUHHCE), AFSCME, AFL-CIO",Directed,WON,,2016-07-25,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-179166,"Renzenberger, Inc.",RC,Philadelphia,PA,2016-08-04,28.0,0.0,5.0,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Worke",Stipulated,WON,,2016-08-16,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-179402,Agora Cyber Charter School,RC,King Of Prussia,PA,2016-08-05,85.0,11.0,51.0,"Agora Cyber Professionals Association, PSEA/NEA",Directed,WON,,2016-09-09,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-180707,"Universal Protection Services, LLC",RC,Philadelphia,PA,2016-08-22,10.0,1.0,4.0,National League of Justice and Security Professionals,Directed,WON,,2016-09-01,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-181636,"Howroyd-Wright Employment Agency, Inc., d/b/a Apple One",RC,Philadelphia,PA,2016-09-01,28.0,0.0,18.0,Teamsters Local 115,Directed,WON,,2016-09-13,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
4,04-RC-181883,"Mercy Catholic Medical Center, Mercy Philadelphia Hospital Division",RC,Philadelphia,PA,2016-09-07,271.0,125.0,108.0,Pennsylvania Association of Staff Nurses and Allied Professionals,Directed,,LOSS,2016-09-19,Certification of Results,,,,,,,,,,,,,,,,,,,,,
4,04-RC-182436,"Advanced Traffic Control, LLC",RC,Franklinville,NJ,2016-09-09,27.0,20.0,7.0,"International Association of Machinists & Aerospace Workers, AFL/CIO, District Lodge 1",Stipulated,,LOSS,2016-09-19,Certification of Results,,,,,,,,,,,,,,,,,,,,,
4,04-RC-182476,"Harrah's Atlantic City Operating Co., LLC d/b/a Harrah's Resort Atlantic City",RC,Atlantic City,NJ,2016-09-17,46.0,27.0,14.0,IATSE Local 917,Stipulated,,LOSS,2016-09-27,Certification of Results,,,,,,,,,,,,,,,,,,,,,
4,04-RC-182893,"First Transit, Inc.",RC,Philadelphia,PA,2016-09-15,44.0,0.0,4.0,Teamsters Union Local No. 115,Directed,WON,,2016-09-26,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
5,05-RC-139478,Goucher College,RC,Baltimore,MD,2014-11-25,99.0,36.0,40.0,"Service Employees International Union, Local 500",Stipulated,WON,,2016-08-26,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
5,05-RC-143199,"Guardsmark, Inc.",RC,Washington,DC,2015-01-28,33.0,2.0,11.0,"International Union, Security, Police, and Fire Professionals of America (SPFPA)",Stipulated,WON,,2016-01-29,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
5,05-RC-145133,"RATP Dev. McDonald Transit LLC, dba RDMT, LLC &
Midtown Personnel, Inc., dba The Midtown Group (Joi",RC,Washington,DC,2016-03-04,36.0,7.0,26.0,"Amalgamated Transit Union, Local 689",Stipulated,WON,,2016-03-14,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
5,05-RC-148929,"East Coast Underground, Inc.",RC,Hurlock,MD,2015-05-05,96.0,35.0,37.0,"International Brotherhood of Electrical Workers, Local Union 126",Stipulated,WON,,2016-04-21,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
5,05-RC-149149,"Didlake, Inc.",RC,Arlington,VA,2015-05-11,6.0,4.0,2.0,"Public Service Employees Local Union 572, a/w Laborers' International Union of North America",Stipulated,,LOSS,2015-10-19,Certification of Results,,,,,,,,,,,,,,,,,,,,,
5,05-RC-154596,"Green JobWorks, LLC./ACECO, LLC (joint employer)",RC,Washington,DC,2015-11-03,134.0,15.0,44.0,Construction and Master Laborers' Local Union No. 11,Directed,WON,,2015-12-22,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
5,05-RC-155713,"Thesis Painting, Inc.",RC,Springfield,VA,2015-07-31,32.0,11.0,21.0,"INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES, AFL-CIO, DISTRICT COUNCIL 51",Stipulated,WON,,2015-11-02,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
5,05-RC-157466,"Carlos Painting and Decorating, Inc.",RC,Germantown,MD,2015-09-02,31.0,25.0,5.0,"International Union of Painters and Allied Trades, AFL-CIO, District Council 51",Stipulated,,LOSS,2015-11-05,Certification of Results,,,,,,,,,,,,,,,,,,,,,
5,05-RC-158823,Chef's Warehouse,RC,Baltimore,MD,2015-09-24,26.0,11.0,13.0,International Brotherhood of Teamsters,Stipulated,WON,,2015-10-02,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
5,05-RC-158933,"Homeless Children's Playtime Project, Inc.",RC,Washington,DC,2015-11-24,6.0,3.0,3.0,INTERNATIONAL FEDERATION OF PROFESSIONAL & TECHNICAL ENGINEERS LOCAL 70,Directed,,LOSS,2015-12-02,Certification of Results,,,,,,,,,,,,,,,,,,,,,
5,05-RC-159569,"Strathmore Hall Foundation, Inc.",RC,Bethesda,MD,2015-09-30,22.0,0.0,16.0,"TREASURERS AND TICKET SELLERS LOCAL 868, IATSE",Stipulated,WON,,2015-10-08,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
5,05-RC-160700,"The Chef's Warehouse Mid-Atlantic, LLC",RC,Baltimore,MD,2015-10-15,2.0,1.0,1.0,International Brotherhood of Teamsters,Stipulated,,LOSS,2015-10-23,Certification of Results,,,,,,,,,,,,,,,,,,,,,
5,05-RC-160704,"First Coast Security Solutions, Inc.",RC,Washington,DC,2015-10-15,59.0,0.0,30.0,Governed United Security Professionals,Stipulated,WON,,2015-10-23,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
5,05-RC-160916,Green Valley Terrace SNF LLC d/b/a Atlantic Shores Rehabilitation and Health Center,RC,Millsboro,DE,2015-10-29,25.0,8.0,14.0,"UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION, LOCAL 27",Stipulated,WON,,2015-11-06,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
5,05-RC-161528,"SDH Services West, LLC and SDH Services East LLC, wholly-owned subsidiaries of Sodexo, Inc., A Singl",RC,Washington,DC,2015-11-04,18.0,0.0,11.0,"International Union of Operating Engineers, Local 99",Stipulated,WON,,2015-12-03,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
5,05-RC-162122,"Dillon's Bus Service, Inc.",RC,Hanover,MD,2015-11-12,156.0,62.0,58.0,"Amalgamated Transit Union, International",Stipulated,,LOSS,2015-12-16,Certification of Results,,,,,,,,,,,,,,,,,,,,,
5,05-RC-162295,L-3 Communications,RC,Martinsburg,WV,2015-11-05,2.0,0.0,2.0,"INTERNATIONAL ASSOCIATION OF MACHINISTS & AEROSPACE WORKERS, AFL-CIO, DL 4",Stipulated,WON,,2015-11-13,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
5,05-RC-162413,"SDH Education East, LLC",RC,Westminster,MD,2015-11-05,58.0,3.0,42.0,"UNITE HERE Local 7, AFL-CIO",Stipulated,WON,,2015-11-13,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
5,05-RC-162889,The John F. Kennedy Center for the Performing Arts,RC,Washington,DC,2015-11-30,1.0,0.0,1.0,"D.C. FEDERATION OF MUSICIANS, LOCAL 161-710",Directed,WON,,2015-12-11,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
5,05-RC-162892,The Washington National Opera,RC,Washington,DC,2015-12-02,1.0,0.0,1.0,"D.C. FEDERATION OF MUSICIANS, LOCAL 161-710",Directed,WON,,2015-12-11,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
5,05-RC-163201,Paving Management Company,RC,Washington,DC,2015-12-03,22.0,1.0,20.0,Teamsters Local Union No. 639,Stipulated,WON,,2015-12-11,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
5,05-RC-163383,"W Hotel Management, Inc.",RC,Washington,DC,2015-12-02,11.0,5.0,6.0,Law Enforcement Officers Security Unions LEOSU-DC,Stipulated,WON,,2015-12-11,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
5,05-RC-163777,"Michaels Management Services, Inc.",RC,Fort Belvoir,VA,2015-12-09,28.0,9.0,15.0,Steamfitters UA Local Union No. 602,Stipulated,WON,,2015-12-17,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
5,05-RC-163831,"Greater Baltimore Medical Center, Inc.",RC,Baltimore,MD,2015-12-03,19.0,12.0,7.0,"International Brotherhood of Teamsters, Local Union 570",Stipulated,,LOSS,2015-12-11,Certification of Results,,,,,,,,,,,,,,,,,,,,,
