,Region,Case Number,Case Name,Case Type,City,State,Election Held Date,Number of Eligible Voters,Valid Votes Against,Votes for Labor Org 1,Labor Org 1 Name,"Stipulated
/ Consent
/ Directed",Certification of Representative Date (Win),Certification of Results Date (Loss),Case Closed Date,Closed Reason,Votes for Labor Org 2,Labor Org 2 Name,Union To Certify,Votes for Labor Org 3,Labor Org 3 Name,For Proposition,Against Proposition	,"Stipulated / Consent
/ Directed",Against Proposition,Dispute Unit City,Dispute Unit State,Num Eligible Voters,"Stipulated
/ Consent / Directed",Cert of Rep (Win),Cert of Results (Loss),Closed Date,Votes For Labor Org3,Labor Org3,Stipulated/Consent,Case ID,Stipulated / Consent / Directed
3542,6,06-RC-204886,Belair Health and Rehab Center,RC,Kennerdell,PA,2017-09-05,14.0,0.0,11.0,seiu healthcare pennsylvania,Directed,WON,,2017-09-13,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3543,7,07-RC-181828,Royal Transportation,RC,Detroit,MI,2016-09-02,89.0,41.0,37.0,"local 337, international brotherhood of teamsters (ibt)",Stipulated,,LOSS,2016-10-20,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3544,7,07-RC-183250,"Rizzo Environmental Services, Inc.",RC,Sterling Heights,MI,2016-09-23,450.0,333.0,62.0,"local 247, international brotherhood of teamsters (ibt)",Stipulated,,LOSS,2016-10-04,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3545,7,07-RC-184151,"TMS International, LLC",RC,Monroe,MI,2016-10-04,14.0,0.0,12.0,"local 324, international union of operating engineers (iuoe), afl-cio",Stipulated,WON,,2016-10-12,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3546,7,07-RC-185129,Borgess Medical Center d/b/a Borgess-Pipp Hospital,RC,Plainwell,MI,2016-10-19,45.0,25.0,15.0,michigan nurses association,Stipulated,,LOSS,2016-10-27,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3547,7,07-RC-186103,Notting Hill of West Bloomfield,RC,West Bloomfield,MI,2016-11-02,98.0,52.0,26.0,seiu healthcare michigan,Stipulated,,LOSS,2016-11-10,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3548,7,07-RC-186616,"Advanced Disposal Services Solid Waste Midwest, LLC",RC,Whitmore Lake,MI,2016-11-10,24.0,24.0,0.0,"local 247, international brotherhood of teamsters (ibt)",Directed,,LOSS,2016-11-18,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3549,7,07-RC-187654,"TouchPoint Support Services,LLC, a Division of Compass Group USA, Inc.",RC,Detroit,MI,2016-12-07,199.0,43.0,96.0,"local 459, office and professional employees international union (opeiu), afl-cio",Stipulated,WON,,2016-12-15,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3550,7,07-RC-187660,Health Alliance Plan of Michigan,RC,Detroit,MI,2016-11-30,8.0,0.0,7.0,"international union, united automobile, aerospace and agricultural implement workers of america (uaw",Stipulated,WON,,2016-12-08,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3551,7,07-RC-188032,DTE Energy Company,RC,Detroit,MI,2017-02-06,54.0,24.0,22.0,"local 223, utility workers union of america (uwua), afl-cio",Directed,,LOSS,2017-02-14,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3552,7,07-RC-188096,"TouchPoint Support Services, A Division of Compass Group",RC,Detroit,MI,2016-12-07,180.0,55.0,103.0,"local 459, office and professional employees international union (opeiu), afl-cio",Stipulated,WON,,2016-12-16,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3553,7,07-RC-188362,People's Food Co-op Ann Arbor,RC,Ann Arbor,MI,2016-12-09,63.0,7.0,24.0,"local 876, united food and commercial workers international union (ufcw), afl-cio, clc",Stipulated,WON,,2016-12-19,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3554,7,07-RC-188599,"Interstate Management Company, LLC",RC,Ypsilanti,MI,2016-12-15,40.0,10.0,22.0,"district council 3, local 2/289m, graphic communications conference/international brotherhood of tea",Stipulated,WON,,2016-12-23,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3555,7,07-RC-189179,Crittenton Hospital Medical Center,RC,Rochester,MI,2016-12-22,6.0,3.0,3.0,seiu healthcare michigan,Stipulated,,LOSS,2016-12-30,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3556,7,07-RC-190889,Savage Services Corporation,RC,Melvindale,MI,2017-02-24,16.0,6.0,9.0,"local 283, international brotherhood of teamsters (ibt)",Directed,WON,,2017-03-06,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3557,7,07-RC-190968,Rush Trucking Corporation,RC,Brownstown Township,MI,2017-02-02,48.0,4.0,42.0,"international union, united automobile, aerospace and agricultural implement workers of america (uaw",Stipulated,WON,,2017-02-10,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3558,7,07-RC-191087,Medilodge of Montrose,RC,Montrose,MI,2017-02-03,150.0,81.0,28.0,"local 393, office and professional employees international union (opeiu), afl-cio",Stipulated,,LOSS,2017-02-13,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3559,7,07-RC-191407,SP Plus Corporation,RC,Flint,MI,2017-02-07,24.0,2.0,20.0,"michigan council 25, american federation of state, county and municipal employees (afscme), afl-cio",Stipulated,WON,,2017-02-16,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3560,7,07-RC-191765,"H. P. Products Corporation d/b/a Ship-Pac, Inc.",RC,Kalamazoo,MI,2017-02-17,14.0,8.0,3.0,"teamsters local union no. 7, international brotherhood of teamsters (ibt)",Stipulated,,LOSS,2017-02-27,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3561,7,07-RC-192666,White Hall of Ann Arbor Nursing Home,RC,Ann Arbor,MI,2017-02-23,47.0,1.0,22.0,seiu healthcare michigan,Stipulated,WON,,2017-03-03,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3562,7,07-RC-192689,"Outer Drive Partners, LLC d/b/a Hartford Nursing & Rehabilitation Center",RC,Detroit,MI,2017-03-03,24.0,8.0,13.0,seiu healthcare michigan,Stipulated,WON,,2017-03-13,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3563,7,07-RC-192973,Euclid Manufacturing Company Inc.,RC,Detroit,MI,2017-03-14,221.0,104.0,84.0,"local 155, international union, united automobile, aerospace andagricultural implement workers of a",Stipulated,,LOSS,2017-03-22,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3564,7,07-RC-193281,"SET Enterprises, Inc.",RC,New Boston,MI,2017-03-09,69.0,34.0,34.0,"international union, united automobile, aerospace and agricultural implement workers of america (uaw",Stipulated,,LOSS,2017-03-17,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3565,7,07-RC-193368,"Sunbelt Rentals, Inc.",RC,Ypsilanti,MI,2017-03-16,5.0,0.0,4.0,"local 324, international union of operating engineers (iuoe), afl-cio",Stipulated,WON,,2017-03-24,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3566,7,07-RC-194045,Howmet Corporation,RC,Whitehall,MI,2017-03-24,300.0,183.0,91.0,"international association of machinists and aerospace workers, afl-cio, district lodge 60",Stipulated,,LOSS,2017-04-03,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3567,7,07-RC-194328,"Healthcare Services Group, Inc.",RC,Lansing,MI,2017-03-30,9.0,2.0,1.0,seiu healthcare michigan,Stipulated,,LOSS,2017-04-07,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3568,7,07-RC-194379,SSC Beverly Hills Operating Company LLC d/b/a Cambridge South Healthcare Center,RC,Beverly Hills,MI,2017-03-28,19.0,0.0,7.0,seiu healthcare michigan,Stipulated,WON,,2017-04-05,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3569,7,07-RC-194392,Apple Tree Lane Ltd. d/b/a Special Tree Neurocare Center,RC,Romulus,MI,2017-03-31,110.0,58.0,37.0,"seiu healthcare michigan, service employees international union",Stipulated,,LOSS,2017-04-10,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3570,7,07-RC-194996,"RHEMA-Roseville Operating LLC d/b/a Advantage Living
Center – Roseville",RC,Roseville,MI,2017-04-07,113.0,55.0,20.0,seiu healthcare michigan,Directed,,LOSS,2017-04-17,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3571,7,07-RC-195631,"Dean Transportation, Inc.",RC,Battle Creek,MI,2017-04-18,69.0,16.0,21.0,dean transportation employee's union,Stipulated,WON,,2017-04-26,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3572,7,07-RC-195952,Silverstar Delivery LTD,RC,Brownstown,MI,2017-04-21,46.0,7.0,22.0,"local 337, international brotherhood of teamsters (ibt)",Stipulated,WON,,2017-05-15,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3573,7,07-RC-196912,"Pepsi Beverages Company, an Operating Unit of Pepsi Co., Inc.",RC,Lansing,MI,2017-05-11,8.0,5.0,3.0,"local 243, international brotherhood of teamsters (ibt)",Stipulated,,LOSS,2017-05-19,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3574,7,07-RC-197315,ADC Ltd NM,RC,Detroit,MI,2017-05-08,13.0,5.0,6.0,"international union, security, police and fire professionals of america (spfpa)",Directed,WON,,2017-06-08,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3575,7,07-RC-197528,"Jones Lang LaSalle Americas, Inc.",RC,Lansing,MI,2017-05-18,5.0,2.0,3.0,"local 324, international union of operating engineers (iuoe), afl-cio",Stipulated,WON,,2017-05-26,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3576,7,07-RC-197802,"Eby-Brown Company, LLC",RC,Ypsilanti,MI,2017-05-26,79.0,42.0,26.0,"local 337, international brotherhood of teamsters (ibt)",Stipulated,,LOSS,2017-06-26,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3577,7,07-RC-198299,"Mitsubishi Chemical Performance Polymers, Inc.",RC,Warren,MI,2017-06-02,35.0,8.0,21.0,"international union, united automobile, aerospace and agricultural implement workers of america (uaw",Stipulated,WON,,2017-09-15,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3578,7,07-RC-198362,"Grass Roots Campaigns, Inc.",RC,Ann Arbor,MI,2017-06-02,20.0,1.0,8.0,"ypsilanti, general membership branch (gmb), industrial workers of the world (iww)",Stipulated,WON,,2017-06-12,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3579,7,07-RC-198818,"Rhema-Belmont Operating, LLC d/b/a Advantage Living
Center-Harper Woods",RC,Harper Woods,MI,2017-07-20,130.0,40.0,46.0,seiu healthcare michigan,Stipulated,WON,,2017-07-28,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3580,7,07-RC-199827,Dynamic Science Inc.,RC,Alpena,MI,2017-07-11,2.0,0.0,2.0,"international association of machinists & aerospace workers (iam&aw), afl-cio, district lodge 60",Stipulated,WON,,2017-07-20,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3581,7,07-RC-200404,"Vibra of Southeastern Michigan, LLC",RC,Lincoln Park,MI,2017-06-30,23.0,5.0,11.0,seiu healthcare michigan,Stipulated,WON,,2017-07-10,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3582,7,07-RC-200694,Consumers Energy,RC,Jackson,MI,2017-07-10,42.0,19.0,20.0,michigan state utility workers council,Stipulated,,LOSS,2017-07-19,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3583,7,07-RC-200741,"RHEMA-WTLC Operating, LLC d/b/a Advantage Living
Center-Wayne",RC,Wayne,MI,2017-07-07,97.0,19.0,38.0,seiu healthcare michigan,Stipulated,WON,,2017-07-17,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3584,7,07-RC-201263,"Stafford-Smith, Inc.",RC,Kalamazoo,MI,2017-07-27,14.0,14.0,3.0,"local 357, united association of journeymen and apprentices of the plumbing and pipefitting industry",Stipulated,,LOSS,2017-08-04,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3585,7,07-RC-201272,"Stafford-Smith, Inc.",RC,Lansing,MI,2017-07-27,6.0,1.0,3.0,"local 333, united association of journeymen and apprentices of the plumbing and pipefitting industry",Stipulated,WON,,2017-08-04,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3586,7,07-RC-201278,"Stafford-Smith, Inc.",RC,Mishawaka,IN,2017-07-27,3.0,2.0,0.0,"local 172, united association of journeymen and apprentices of the plumbing and pipefitting industry",Stipulated,,LOSS,2017-08-04,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3587,7,07-RC-201454,"Sakthi Automotive Group USA, Inc.",RC,Detroit,MI,2017-07-21,7.0,0.0,5.0,"local 600, international union, united automobile, aerospace and agricultural implement workers of a",Stipulated,WON,,2017-07-31,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3588,7,07-RC-201625,"Allied Waste Systems of Michigan, LLC",RC,Erie,MI,2017-07-26,8.0,5.0,2.0,"local 324, international union of operating engineers (iuoe), afl-cio",Stipulated,,LOSS,2017-08-03,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3589,7,07-RC-201740,McLaren Bay Region,RC,Bay City,MI,2017-08-04,59.0,0.0,38.0,"international association of emts and paramedics (iaep), national association of government employee",Stipulated,WON,,2017-08-17,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3590,7,07-RC-202326,Munson Medical Center,RC,Traverse City,MI,2017-08-09,1125.0,439.0,489.0,michigan nurses association,Stipulated,WON,,2017-08-30,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3591,7,07-RC-202669,"Vibra of Southeastern Michigan, LLC",RC,Lincoln Park,MI,2017-08-04,9.0,1.0,7.0,seiu healthcare michigan,Stipulated,WON,,2017-08-15,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3592,7,07-RC-202810,"NT2 Guardian, LLC",RC,Ann Arbor,MI,2017-08-10,10.0,4.0,3.0,"local 876, united food and commercial workers international union (ufcw), afl-cio, clc",Stipulated,,LOSS,2017-08-18,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3593,7,07-RC-203681,Detroit Receiving Hospital,RC,Detroit,MI,2017-08-25,29.0,3.0,23.0,michigan association of police (map),Directed,WON,,2017-09-01,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3594,7,07-RC-204054,Healthcare Services Group-Superior Woods,RC,Ypsilanti,MI,2017-08-30,9.0,0.0,8.0,seiu healthcare michigan,Stipulated,,LOSS,2017-09-08,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3595,7,07-RC-204381,Viron International,RC,Owosso,MI,2017-09-07,17.0,5.0,10.0,"local 7, international association of sheet metal, air, rail and transportation workers (smart)",Stipulated,WON,,2017-09-15,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3596,7,07-RC-204890,"Penske Logistics, LLC",RC,Chesterfield,MI,2017-09-14,200.0,62.0,70.0,"international union united automobile, aerospace and agricultural implement workers of america, (uaw",Stipulated,WON,,2017-09-22,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3597,7,07-RC-204958,Healthcare Services Group-Warren Woods,RC,Warren,MI,2017-09-14,16.0,0.0,12.0,seiu healthcare michigan,Directed,,LOSS,2017-09-25,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3598,8,08-RC-127213,"ACE HEATING & AIR CONDITIONING CO., INC.",RC,CLEVELAND,OH,2016-10-05,4.0,4.0,0.0,"international association of sheet metal, air, rail and transportation workers, local union no. 33,",Stipulated,,LOSS,2016-10-14,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3599,8,08-RC-174497,National Oilwell Varco L.P.,RC,YOUNGSTOWN,OH,2016-05-12,41.0,20.0,21.0,"international union of operating engineers, local 95",Stipulated,WON,,2016-11-17,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3600,8,08-RC-183441,"Momentive Performance Materials, Inc.",RC,Hebron,OH,2016-09-22,143.0,70.0,65.0,"iue-cwa, the industrial division of the communications workers of america, afl-cio",Stipulated,,LOSS,2016-10-12,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3601,8,08-RC-184666,GABRIEL PERFORMANCE PRODUCTS,RC,Ashtabula,OH,2016-10-13,28.0,2.0,28.0,international chemical workers union council (icwuc)/ufcw,Stipulated,WON,,2016-10-27,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3602,8,08-RC-184947,"Cristal USA, Inc.",RC,Ashtabula,OH,2016-11-11,28.0,1.0,25.0,international chemical workers union council (icwuc)/ufcw,Directed,WON,,2017-06-27,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3603,8,08-RC-185044,National Lime & Stone Company,RC,Chesterville,OH,2016-10-07,6.0,3.0,2.0,"international union of operating engineers, local 18",Stipulated,,LOSS,2016-10-18,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3604,8,08-RC-185796,Ohio Edison Company,RC,Massillon,OH,2016-10-28,5.0,1.0,4.0,"ibew, local 1194",Stipulated,WON,,2016-11-07,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3605,8,08-RC-185923,"SDH Services West, LLC",RC,CLEVELAND,OH,2016-11-01,121.0,4.0,89.0,"workers united, chicago and midwest regional joint board, seiu",Stipulated,WON,,2016-11-14,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3606,8,08-RC-186920,"Tube-Cut North America, LLC",RC,East Palestine,OH,2016-11-18,20.0,4.0,16.0,"united steel, paper and forestry, rubber, manufacturing, energy, allied industrial and service worke",Stipulated,WON,,2016-11-28,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3607,8,08-RC-187061,"Gabriel Performance Products, LLC",RC,Ashtabula,OH,2016-11-18,5.0,2.0,5.0,international chemical workers union council of united food and commercial workers international uni,Stipulated,WON,,2016-11-28,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3608,8,08-RC-188482,Cristal USA Inc.,RC,Ashtabula,OH,2017-01-11,5.0,1.0,3.0,international chemical workers union council of united food & commercial workers international union,Directed,WON,,2017-06-27,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3609,8,08-RC-191830,Automax Streetsboro N LLC d/b/a Nissan of Streetsboro,RC,STREETSBORO,OH,2017-02-22,5.0,2.0,3.0,"international association of machinists & aerospace workers,afl-cio",Stipulated,WON,,2017-03-03,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3610,8,08-RC-191911,Knollwood Cemetery Association,RC,Cleveland,OH,2017-02-17,7.0,5.0,2.0,"united steel, paper and forestry, rubber manufacturing, energy, allied industrial and service worker",Stipulated,,LOSS,2017-02-27,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3611,8,08-RC-195745,"Trinity, Inc.",RC,Toledo,OH,2017-04-26,67.0,46.0,20.0,international brotherhood of teamsters local union #20,Stipulated,,LOSS,2017-05-09,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3612,8,08-RC-195931,"Professional Transportation, Inc. (PTI)",RC,Mansfield,OH,2017-04-21,16.0,0.0,6.0,united electrical radio and machine workers of america (ue),Stipulated,WON,,2017-08-16,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3613,8,08-RC-195934,"Professional Transportation, Inc. (PTI)",RC,Youngstown,OH,2017-04-21,6.0,0.0,5.0,united electrical radio and machine workers of america (ue),Stipulated,WON,,2017-05-22,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3614,8,08-RC-195935,"Professional Transportation, Inc. (PTI)",RC,Alliance,OH,2017-04-21,5.0,2.0,0.0,united electrical radio and machine workers of america (ue),Stipulated,,LOSS,2017-05-22,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3615,8,08-RC-195938,"Professional Transportation, Inc. (PTI)",RC,Bellevue,OH,2017-04-21,52.0,6.0,16.0,united electrical radio and machine workers of america (ue),Stipulated,WON,,2017-05-22,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3616,8,08-RC-198770,"Millennia Properties Management, LTD",RC,Akron,OH,2017-06-08,10.0,3.0,7.0,teamsters local 348,Stipulated,WON,,2017-06-19,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3617,8,08-RC-199813,St. Vincent Charity Medical Center,RC,Cleveland,OH,2017-06-22,25.0,9.0,13.0,"international union, security, police, and fire professionals of america (spfpa)",Stipulated,WON,,2017-07-24,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3618,8,08-RC-200736,"Sunbelt Rentals, Inc.",RC,Findlay,OH,2017-07-12,8.0,0.0,8.0,"international union of operating engineers, local 18",Stipulated,WON,,2017-07-21,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3619,8,08-RC-202229,"Metropolitan Security Services, Inc. d/b/a Walden Security",RC,Akron,OH,2017-08-03,101.0,5.0,33.0,united states court security officers,Stipulated,WON,,2017-09-05,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3620,8,08-RC-202452,Ohio Edison Company,RC,Marion,OH,2017-08-10,4.0,0.0,4.0,"ibew, local 1194",Stipulated,WON,,2017-08-21,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3621,8,08-RC-202763,"Area Aggregates, LLC",RC,Woodville,OH,2017-08-11,10.0,1.0,8.0,"international union of operating engineers, local 18",Stipulated,WON,,2017-08-24,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3622,8,08-RC-203000,"ITS Technologies & Logistics, LLC d/b/a ITS ConGlobal",RC,Maple Heights,OH,2017-08-17,16.0,15.0,1.0,"international association of sheet metal, air, rail and transportation workers (smart)",Stipulated,,LOSS,2017-08-28,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3623,9,09-RC-177645,ALL CRANE & EQUIPMENT RENTAL CORP.,RC,Nitro,WV,2016-10-26,24.0,18.0,5.0,"international union of operating engineers, local no. 132, afl-cio",Stipulated,,LOSS,2016-11-03,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3624,9,09-RC-184262,"TRANSDEV SERVICES, INC.",RC,Cincinnati,OH,2016-10-11,6.0,1.0,5.0,"amalgamated transit union local 627, afl-cio",Stipulated,WON,,2016-10-19,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3625,9,09-RC-184403,"REPUBLIC SERVICES OF OHIO III, LLC",RC,Amanda,OH,2016-10-07,16.0,1.0,11.0,teamsters local union no. 637,Stipulated,WON,,2016-10-17,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3626,9,09-RC-185609,"THE PEPSI-COLA BOTTLING COMPANY OF WINCHESTER, KENTUCKY, A DIVISION OF G&J PEPSI-COLA BOTTLERS, INC.",RC,WINCHESTER,KY,2016-11-04,27.0,14.0,12.0,"international brotherhood of teamsters, local union 651",Stipulated,,LOSS,2016-11-15,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3627,9,09-RC-186163,JACK CINCINNATI CASINO LLC,RC,Cincinnati,OH,2016-11-10,55.0,14.0,32.0,"international union, security, police and fire professionals of america (spfpa)",Stipulated,WON,,2016-11-18,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3628,9,09-RC-186201,DIVERSICARE LEASING CORP. D/B/A SOUTH SHORE NURSING & REHABILITATION CENTER,RC,South Shore,KY,2016-11-07,31.0,11.0,17.0,"seiu/district 1199, the health care and social service union",Stipulated,WON,,2016-11-15,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3629,9,09-RC-186202,DIVERSICARE LEASING CORP. D/B/A SOUTH SHORE NURSING & REHABILITATION CENTER,RC,SOUTH SHORE,KY,2016-11-07,15.0,7.0,4.0,"seiu/district 1199, the health care and social service union",Stipulated,,LOSS,2016-11-15,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3630,9,09-RC-187183,"UC HEALTH, LLC",RC,Cincinnati,OH,2016-11-17,4.0,0.0,4.0,"international union of operating engineers, afl-cio, local 20",Stipulated,WON,,2016-11-28,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3631,9,09-RC-188323,DHL SUPPLY CHAIN,RC,Cincinnati,OH,2016-12-08,114.0,73.0,37.0,"international union, united automobile, aerospace & agricultural implement workers of america (uaw),",Stipulated,,LOSS,2016-12-16,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3632,9,09-RC-189193,"UNIVERSITY OF CINCINNATI MEDICAL CENTER, LLC",RC,Cincinnati,OH,2016-12-29,5.0,4.0,0.0,"international union of operating engineers, afl-cio-clc, local 20",Stipulated,,LOSS,2017-01-06,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3633,9,09-RC-190032,"RUMPKE OF OHIO, INC. (I.E.S.C.)",RC,Norwood,OH,2017-01-10,20.0,16.0,4.0,teamsters local union no. 100 affiliated with the internationalbrotherhood of teamsters,Stipulated,,LOSS,2017-01-18,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3634,9,09-RC-190158,SERVICE WIRE COMPANY,RC,Culloden,WV,2017-01-13,89.0,53.0,33.0,"international brotherhood of electrical workers, local no. 317, afl-cio",Stipulated,,LOSS,2017-01-23,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3635,9,09-RC-190172,"RENZENBERGER, INC.",RC,Columbus,OH,2017-01-11,23.0,2.0,8.0,united electrical radio and machine workers of america (ue),Stipulated,WON,,2017-02-06,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3636,9,09-RC-190911,SSB MANUFACTURING COMPANY,RC,Monroe,OH,2017-02-01,22.0,10.0,11.0,"united steel, paper and forestry, rubber, manufacturing, energy, allied industrial and service worke",Stipulated,WON,,2017-02-10,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3637,9,09-RC-193783,"MARTIN TRANSPORTATION SYSTEMS, INC.",RC,Louisville,KY,2017-03-14,11.0,3.0,8.0,"international brotherhood of teamsters, chauffeurs, warehousemen and helpers of america, local union",Stipulated,WON,,2017-03-22,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3638,9,09-RC-193995,"Mid-America Conversion Services, LLC",RC,Piketon,OH,2017-03-22,13.0,1.0,12.0,"united steel, paper and forestry, rubber, manufacturing, energy, allied industrial and service worke",Stipulated,WON,,2017-03-30,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3639,9,09-RC-195869,"REPUBLIC SERVICES OF OHIO III, LLC",RC,Amanda,OH,2017-04-20,2.0,0.0,2.0,teamsters local union no. 637,Stipulated,WON,,2017-04-28,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3640,9,09-RC-196642,THE C.I. THORNBURG COMPANY,RC,Huntington,WV,2017-05-05,11.0,3.0,6.0,"chauffeurs, teamsters & helpers, local union 175, a/w international brotherhood of teamsters",Stipulated,WON,,2017-05-15,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3641,9,09-RC-198849,"BOWLING TRANSPORTATION, INC.",RC,Middletown,OH,2017-05-31,8.0,2.0,6.0,"international association of machinists & aerospace workers, afl-cio, local lodge 1943",Stipulated,WON,,2017-06-08,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3642,9,09-RC-199060,BADGER DAYLIGHTING CORP.,RC,Louisville,KY,2017-06-16,14.0,1.0,12.0,"international union of operating engineers local 181, afl-cio (iuoe)",Stipulated,WON,,2017-06-26,Certific. of Representative,,,,,,,,,,,,,,,,,,,,,
3643,9,09-RC-199186,"LUXOTTICA RETAIL NORTH AMERICA, INC.",RC,Cincinnati,OH,2017-06-16,13.0,8.0,4.0,"international association of machinists and aerospace workers, afl-cio local lodge 1943",Directed,,LOSS,2017-06-26,Certification of Results,,,,,,,,,,,,,,,,,,,,,
3644,9,09-RC-201370,"DEMPSEY WASTE SYSTEMS II, INC. D/B/A ALLIED WASTE SERVICES OF DAYTON/REPUBLIC SERVICES OF DAYTON",RC,Dayton,OH,2017-07-21,5.0,3.0,2.0,"general truck drivers, warehousemen, helpers, sales and service, and casino employees, teamsters loc",Stipulated,,LOSS,2017-07-31,Certification of Results,,,,,,,,,,,,,,,,,,,,,
